Unnamed: 0,youtube_id,comment,like_num
43,김건희,세상에..저를 하녀로 고용해주세요ㅠㅜㅠㅜㅠㅠ,4개
44,SeriNadhirah,This is the first time i’ve seen such content on youtube and I love it!,0개
45,전하연,뭐야 프리미엄회원인데 왜 광고뜨지?했어요ㅋㅋㅋㅋㅋㅋㅋ 언니 스페인어할때 목소리 완전매력적이에요😍,35개
46,경은,와 언니 너무 고급져여ㅠ스페인어 하나도 모르지만 발음 완전 좋고😻,2개
47,김세원,정말 한별누님이 장편소설 스페인어로 읽어주몬 잠 솔솔솔오겠다,30개
48,유진,넷플 종이의 집 보는 기분이야 ㅠㅠㅠㅠ 스페인어 하는거 너무 멋져요 짱👍🏻👍🏻,1개
49,전소현,정말 신경 많이 쓰고 최선을 다 한 영상이라는 게 느껴져요. 영상 퀄리티에 구독자로서 아주 만족합니다.👍,1개
50,이옌,"와,,,이게 무슨 광고야 그냥 영화잖아요 언니ㅠㅠ너무 멋진거 아니냐규",2개
51,TabulaRasa,I love this concept ❤️,0개
52,메릿또,아니 ㅋㅋㅋㅋㅋㅋ 마지막 진짜 자막재질 너무 킬링포인트에요 720p의 화질도 빈티지를 노린건가요? 참 좋네요,0개
53,온수현,ㄹㅇ외국 고전영화 or 고전광고 보는 느낌...컨셉도 편집도 오지고 지리고 렛잇고 나죽고 하는 미친 광고네요 스페인어로 더빙하신것도 신의 한수인듯ㅠㅠㅠㅠ와 진짜 저 울어요..ㅠ,12개
54,박하영,불펌× 2차가공 보고 터졌네요ㅋㅋㅋㅋㅋㅋ 쓸데없이 디테일살아있어 ㅋㅋㅋ,2개
55,KiwingSun,영화 도입부 주인공의 일상 같아요ㅠㅜㅠㅠ 으흑 진짜 최고!!ㅠㅜㅠ,2개
56,쪼이,뭐야......언니 솔직히 말해요..유튜브는 취미고 본업이 공주죠?,2개
57,HoneyRiceCake,"Cuando cai en cuenta de que entendia lo que decia me emocione mucho, hablas muy bien el español ♡ me encantan tus videos",0개
58,조밍,아 ㅁㅊ 영상미도 미쳤는데 스페인어 진짜 도란 개머싯어 이 언니ㅠ 하 한별님 진짜너무너무첵오 사랑해요ㅠㅠㅠㅠㅠㅠ❤️❤️,1개
59,민선,신선하고 새로워서 좋구 공주님 같아서 좋구 진짜 외국 광고?보는 기분이라 신나서 리듬타면서 봤어용😍😍😍😍😍 영상 촬영하시느라 고생하셨습니당❣,0개
60,모니모니,와 언니 썸네일보고 우와 외국모델 광곤가봐 했는데ㅠㅠㅠㅠㅠㅠㅠㅠ사란해요 언니의 지적인 느낌 너무 럽유,1개
61,잠보,와....한별님의 혼을 갈아놓은 영화네 영화..ㅠㅠ 너무 감사하게 눈 행복 귀 행복하며 봤습니다ㅠ,0개
62,고최,하.... 진짜 미친퀄리티의 영상이다 이건 ㅠㅠㅠㅠㅠㅠㅠㅠ 이렇게 광고해주는 유튜버가 어딨어.. 한별언니ㅣ뿐.. 언니 체고..🤍,0개
63,휘뚜루마뚜루,할 고전영화 느낌에 스페인어라니 인테리어도 너무 예뻐요ㅠㅠㅠㅓ,2개
64,Sy,아ㅎㅎ 어쩐지 아까 화분에서 끊겨서 의아했는데 뒷부분이 잘린거였네요 인트로(?) 너무 예뻐요 영상 색감도 너무 예쁘고 언니는 말할 것도 없고💗💗,0개
65,새곰,와...이게머야...컨셉 미쵸따ㅠㅠㅠㅠㅠㅠㅠ한별님 옷스타일도 미쳤고 배경도 필터도 미쳤는데 스페인어에 심쿵사..ㅠㅠㅠㅠㅠㅠ옛날 디즈니 영화같은 느낌 너무 좋자너..♡♡♡♡♡,0개
66,김유설,우왕 ㅠㅠㅠㅠ 한별님 진짜 ㅠㅠㅠㅠ 너무 너무 예쁘고 고급스럽고 ㅠㅠㅠㅠㅠ 짱이에요 ㅠㅠㅠㅠㅠㅠ 😭😭,1개
67,강혜인,"언니넘 고생하셨어요ㅜㅅㅜ
이렇게 이쁘고 고급지고 정보력까지 뿜뿜하고 언니의 스페인어로 귀르가즘까지 완벽그자체의 영상👍👍💜💜",1개
68,IRM,언니 이쯤되면 1960년대 갬성 갈아넣은 영화 한편 제작 가즈아. 주연은 언니가 합시다. 이 정도면 영화 한편 제작해줘야 합니다.,0개
69,yonavli,3:12 손을... 너무 쫘아아악 펼치심,0개
70,ngratina,예뻐옄!!! 얼른 맥이나 구찌같은 유명브랜드와도 콜라보하셨으면 합니당❤,1개
71,어니야부기해,아니 진짜 무슨 광고같아....한별님 짱...,1개
72,슈웁,백설공주 느낌난다... 분위기 취저❣❣,1개
73,,컨셉 진짜 독보적이다 .. 광고주? 협찬 해주는 사람 완전 뿌듯할듯 .. ㅠㅠ,1개
74,요울루,한별님 영상 다 좋지만 이번꺼 레전드다아😭 스페인어로 말하는거 이렇게 멋있을 일?😭😭 영상 색감도 미쳤어요ㅠㅠㅠㅠ 분위기 어쩔꺼야 ㅠ 게다가 한별님 미모에 나우럭 ㅠㅠㅠ 이번 영상 최고ㅠㅠㅠㅠㅠ,0개
75,YEON,중세 공주는 이렇게 세안했을 거에요ㅜㅜㅜㅜ 진짜 영상미도 대박 스페인어 발음도 대박...😭😭😭😭,0개
76,수슈화,진짜 인생걸작이다 지렸다❤ 한별최고,0개
77,Rebecca,이걸 이제야보다니.... 육아중이라😭 영화한편보는거 같아요🎥,0개
78,김버블,컨셉 진짜 미쳣구요 ...  한별님 진짜 제 취향 어떻게 아시고 💕,0개
79,짱아,이거 외국 영화인줄 알고 ㅋㅋㅋㅋㅋㅋㅋ와 이사람 한별님 진짜 닮앗다 생각함 ㅠㅠ,0개
80,찬밥,언니 ㅜㅠㅜㅜㅠㅜㅠㅠㅜ 미쳤다 이 느낌 이 감성으로 또 영상 올려주세요 계속 올려주세요 세에상에나 스페인어가 넘 고급져요ㅠㅠㅜㅠㅜㅜ😍😍😍😍😍💕💕,0개
81,김나은,언니 이거 넷플에 나올 것 같애여........ 이런 영상을 공짜로 보다니 영광입니다!!!,1개
82,우아,와 이거 뭐야ㅜㅜ,1개
83,라토마티나,한별님이 최고야.. 반박 시 어쩔!,1개
84,새우소금,와 진심 내가 뭘 본거지.. 이거 이렇게 공짜로 봐도 되나요..? 극장에서 상영하면 보러갈게요...,1개
85,박예빈,언니 진짜로 영화 하나 찍어야ㅑ돼ㅜㅜㅠㅠㅜㅠ 빈티지 중세 이런거 너무 잘어울려요 완전 귀티나🤭🤭❤️❤️❤️,0개
86,AnnaNam,"스페인스러운 분위기와 스페인어 나레이션인데 프랑스 영화스러운 이유는 무엇일까요?ㅎㅎ 
영상 너무 고급져요😍",0개
87,시은,"미쳤따 ㅠㅠㅠㅠ 언니 진짜 영화 한편 본거 같아요❤️❤️❤️❤️ 목소리도 간질간질, 사근사근 너무 좋아요 ❤️❤️ 영상 보는동안  순간 저도 1960년대인줄,, 이런 영상너무 좋아요 :)",0개
88,LilacFairy,와 진짜 최고다...드디어 한국에도 이런영상이ㅜㅜㅜㅜ❤️,0개
89,송,우와 진짜 영화보는 기분 ㅜㅜㅜ 역시 한별님 유튜브를 뒤집어놓으셨다!!,0개
90,WiwikKurniawati,"Such a beautiful video, sunny dahye brings me here❤️❤️❤️",0개
91,체리,언니 나 너무 설레 저런 컨셉 사랑해요 진짜 ㅠ 미친 너무 조아악 ㅠㅠㅠㅠㅠㅠㅠ 제발 더 줘요 더만든거있죠 아니까 얼른 ㅠㅠㅠㅠ,0개
92,마이노랗네,진짜 레전드다ㅠㅠㅠㅠㅠㅠㅠㅠ,0개
93,MYEON코튼,허억 진짜 거짓말 안 치고 영화 리뷰 영상인 줄 알았어요.. 진짜 빈티지 감성 지대루다.. 완전 디즈니 같기도 하고 ㅠㅠ 너무 예뻐요..,1개
94,은희하,넘흐 예쁘자냐? 진짜 영상 넘 내스타일이에오 ♥️♥️,1개
95,lanlan,오늘 영상도 너무 예쁘게 보고 가요. 번역 동생분이 하셨구나! 항상 동생분이랑 사이 좋으신것 같아 부러워요💕,1개
96,AbcY,와.. 언니 이 영상은 댓글을 안달 수가 없네요 ㅠㅠㅠ 감성 진짜 넘쳐나고 ㅠㅠㅠ 더빙 음악 화면 언니 모두 완벽한 영상 ㅠㅠㅠ 앞으로 이런 컨셉 가득가득 해주세여. ㅠㅠㅠ,0개
97,양주은,언니 저 지금 거짓말 안치고 영화리뷰인줄 알고 그냥 내리다가 어디선가 본사람같다고 다시 올려봤는데 언니인거에요 진짜 너무이뻐서 완전 배우인줄 알았어요,1개
98,희연,한별님 진짜 이번 영상 컨셉 무슨 일이에요..ㅠㅠ앞으로도 종종 이런 영상 찍어주세요 너무 좋아서 오늘 여기에 뼈 묻습니다. ..,0개
99,MinjeongKim,영상 고퀄인거 좋은데 자막 글자체가 쪼끔 분위기가 안맞는거 같아요 잘보고 가여~,0개
100,푸비,와 진짜 ㄹㅇ 역대급광고.... 영상미 완벽하다 미쳣나봐..,0개
101,에스실,"진짜 영혼갈아넣은 영상미 연출 대박👍
너무 매력적이시네요 ㅋㅋ 크림광고가 너무 고퀄이야 ㅋㅋ",0개
102,연아,종이의집 보는 거같은 퀄리티ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 짱이에여,0개
103,디딘,이번 영상 컨셉 너무 예쁘고 좋아요ㅠㅠ 언니 스페인어도 (알아듣진 못하지만) 최고야..💘,1개
104,민주,지금까지 이런 컨텐츠는 없었다.. 역시 한별💙,1개
105,RoseD,완전 귀족 아가씨 느낌ㅠㅠㅠ쌩얼도 너무 예쁘당🥰,0개
106,챙,와 컨셉 진짜 역대급이다...,0개
107,JungDaeun,"와아 편집 누가하나요,,, 너무 좋다 이 광고 한별님 짱👍🏻",1개
