닉네임,댓글,좋아요수,날짜
한수혁,"오 요즘 신기한 제품들 리뷰많히하시넹
신기하당 ㅎㅎㅎ",2개,2020. 5. 31.
Scarletwitch,6:27 헐 요기는 그 유명한 엠알님 씻는곳...?,0개,2020. 5. 31.
우잉뽕,우와 탐난다ㅠㅠ 하나 장만하고싶어요,2개,2020. 5. 31.
genry,창문 진짜 더러운데...신기하네ㅋㅋㅋㅋ부모님께 말씀해야하나,1개,2020. 5. 31.
권순일,"ㅋㅋㅋ인삿말 졸귀탱이잖아 형 ㅋㅋㅋㅋ
야시꾸 에마립다",1개,2020. 5. 31.
컴m왕,ㅋㅎㅋㅎㅋㅎㅋㅎ 신박해^,1개,2020. 5. 31.
꼰대,너무 괜찮긴한데 저 케이블이 걸리적거리네요...바람으로 하는거다보니 전력을 많이 먹어서 어쩔수 없다 하지만...아쉽네요. 근데 한번 써보고싶어요 ㅋㅋㅋㅋ 이전까지 손으로 창문밖으로 나가서 청소했는데 ㅋㅋㅋ,1개,2020. 5. 31.
바다내음,페드 교체할 때 손에 묻는 게 조금 아쉽,3개,2020. 5. 31.
아따참말로좋구먼,"창문을 조금만 닦아도 세상이 바뀌어 보이더만 저걸로 하면 완전 딴 판이겠네 한 번 사용 해 보고 싶당
사랑합니당♡♡♡♡♡♡♡♡♡",22개,2020. 5. 31.
밥주머니,가정용은 아닌거 같다고 하는데 나는 왜 보면서 계속 감탄했을까...,1개,2020. 5. 31.
나나의시골일기,"떨어지면..;;. 선이 있으니 다행이지만;; 선이 끊어지면!!(추락!)
(너어ㅓ는 진짜!)",2개,2020. 5. 31.
김경범,와 이제 창문 닦는 분들 위험해 보였는데 이제 저거 쓰면 되겠네,1개,2020. 5. 31.
귀염귀염열매,오오 이번건 사지말라고 살신성인 리뷰해주심,2개,2020. 5. 31.
파란하늘,"우리집에 너무 필요한 청소로봇이네요.
11년동안 아파트 고층이라 맘대로 청소도 못하고 있어서 너무 답답했는데 ㅠㅠ",1개,2020. 5. 31.
구독하면일본망함,정말 좋은데 무서워서 못쓸것 같아;;;,2개,2020. 5. 31.
지호,ㅋㅋㅋㅋㅋㅋ,1개,2020. 5. 31.
엄형준,합리적인 소비를 함깨해야하는데 LG벨벳이후 처음으로 합리적이네용~,1개,2020. 5. 31.
우주,저거 잘 떨어지는 ㅋㄱㅋㄱㅋ,1개,2020. 5. 31.
최다은,신기하긴하네요! 비 오는 날 쓰면 아주 용이하겠어요!,2개,2020. 5. 31.
쵸닌이,1:02 네 어디로 가면 될까요? 저도 따라가고 싶은데.. 힝,1개,2020. 5. 31.
조수빈,"이거 허팝님채널에서 봤는데 ㅋ
역시 다시봐도 완전 신박해 ㅋㅋㅋㅋ",1개,2020. 5. 31.
