닉네임,댓글,좋아요수,날짜
하찮은말포이,"덱스 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ웨 없는고양,,,",0개,2020. 5. 11.
정민혁,그래도 필기용으로 잘쓰고 있어용 ㅇㅅㅇ,1개,2020. 5. 11.
MinsungPark,ㄹㅇ 저번영상보고 바로 라이트 주문했는데 북커버 26일부터 순차배송 ㅠㅠ,0개,2020. 5. 11.
챙쥬,제목ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃김,0개,2020. 5. 11.
YDidUDoThat,"6:22
브베입니당!",0개,2020. 5. 11.
제렌의터키타카,"저는 진짜 해외팬인데 말이쥬~ 




이것은 거짓말이 아닙니다. ㅎㅎㅎㅎㅎ 
언제나 응원해요 잇섭님!!!",1개,2020. 5. 11.
김재윤,됐다!! 이제 탭s7?이 나오면 중고로 팔고 갈아타야지~ ㅋㅋㅋㅋ,0개,2020. 5. 11.
정재영,딱 댓슥이 444임ㅌㅋㅋㅋㅋ,0개,2020. 5. 11.
로드준,와 잇섭님 이번 인트로 지렸다 ㅋㅋㅋ 물론 항상 지렸지만 ㅋㅋㅋ 빵터지네요 ㅋㅋㅋ,0개,2020. 5. 11.
스마트미디어인재개발원인쌤TV,유익한 영상 잘 보고 있습니다 ㅎㅎ,0개,2020. 5. 11.
,제목이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
,항상 좋은영상 감사합니다 선택하는데 도움이 됐어요!,0개,2020. 5. 11.
DelinightTV,ㅋㅋㅋㅋㅋ검은암소 흑웈ㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
더럽,4:02 ㄷㄷㄷㅈ,0개,2020. 5. 11.
,잇서바ㅜㅑ,0개,2020. 5. 11.
피터판다PeterPandaCFTY,검은암솤ㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
허준혁,형....제목이 어디서 많이 봤는데 크흠,1개,2020. 5. 11.
김로빈,인트로 ㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
티피백호랑이,4:41 두두둥장!,0개,2020. 5. 11.
백송이,갤럭시 s6 탭 펜은 왜 저렇게 안 만들었을까요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0개,2020. 5. 11.
,오늘따라 형 되게 답글 열심히 달아준당~ 열일하는 모습 칭찬해♥,0개,2020. 5. 11.
MARVELED,3:57 스펠링 까먹음?,0개,2020. 5. 11.
조현준,4:42 ㄷㄷㄷㅈ,0개,2020. 5. 11.
서현주,0:08 폰외팬,0개,2020. 5. 11.
스팀,"0:58 나오는 답변은 정정답변이 다시왔다고 합니다
다만 정정답변에서 s6 lite(sm-p615n)으로 모델명을 정정했다고 하는대 sm-p0000라는 모델명이 탭A시리즈 라인업에 쓰이는거라 원래는 A시리즈로 나와야했던것같네요...",0개,2020. 5. 11.
유환,5:23 ㄷㄷㄷㅈ,0개,2020. 5. 11.
LacSar,검은 암소 ㅆㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
이상진,4:03ㄷㄷㄷㅈ,0개,2020. 5. 11.
noahhan,3:51 ㄷㄷㄷㅈ,0개,2020. 5. 11.
양현경,5:49 ㄷㄷㄷㅈ ?,0개,2020. 5. 11.
Tzamstein,쵸르나야 까로바 시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 5. 11.
cloverwcg,"요약 : 필기, pdf , 영상, 뉴스 보기 좋습니다,  스피커 좋아요 넷플릭스용으로도 좋음 , 성능이 필요한 작업에는 비추",0개,2020. 5. 11.
황준영,썸넬부터 인트로까지 거를 타선이 없네 아 ㅋㅋㅋ,0개,2020. 5. 11.
오희성,S9 one.ui 2.1 해준다. 좋다,1개,2020. 5. 11.
